dlga_start:member_talk|예?
dlga_start:close_window.1|{s54}
dlga_prisoner_chat:lady_prisoner_chat_2|당신은 내 죄수입니다 왜 당신은 나에게 무기를 들고 당신과 함께 무엇을해야합니까?
dlga_lady_prisoner_chat_2:do_lady_options|나의 주님, 나는 {reg63? Lord : Lady} 강요 당했고 내 인생에 대해 두려움을 느꼈습니다. 나는 당신에게 자비를 간청하고 당신의 손에 내 운명을 양도합니다.
dlga_member_chat:lady_member_talk|인사말 {reg63? Lord : Lady}. 저를 구 해주셔서 감사합니다!
dlga_lady_member_talk:lady_member_options|아니에요. 내가 당신과 어떻게해야합니까?
dlga_lady_member_options:do_lady_options|그와 같은 나의 운명은 당신의 손에 달려 있습니다.
dlga_do_lady_options:lady_end_talk|당신은 저를 자유롭게 해주셔서 감사합니다. {s3}이 감사 할 것이라고 확신합니다.
dlga_do_lady_options:lady_end_talk.1|몸값을받을 수는 있지만 {s3}이 (가) 이것을 불리한 관점에서 볼 것입니다.
dlga_do_lady_options:lady_end_talk.2|내가 당신 편에서 싸울 수있는 장비를 위해 200 골드를 쓰십시오.
dlga_do_lady_options:lady_end_talk.3|우리는 나중에 말할 것입니다.
dlga_lady_end_talk:close_window|당신이 원하는대로.
dlga_start:close_window.2|이 사람은 바빠 보인다.
dlga_start:close_window.3|이 사람은 바빠 보인다.
dlga_start:magic_weapon_dialogue_1|당신에게 공정한 바람! Aziz의 광산에 무엇이 당신을 데려 옵니까?
dlga_start:magic_weapon_3a|당신에게 공정한 바람! Aziz의 광산에 다시 오신 것을 환영합니다.
dlga_magic_weapon_dialogue_1:magic_weapon_2|저를 용서해주세요. 나는이 위치에 대한지도를 발견하고 그것을 찾아 여기로 여행했습니다. 당신은 누구이며, 당신과 그 미친 노인은 여기서 무엇을하고 있습니까?
dlga_magic_weapon_2:magic_weapon_a2|나는 여러 해 동안 많은 이름으로 불려왔다. 흠, 하미 론이라고 부를 수 있다고 생각합니다. 예, 잘 맞지 않는 것 같습니다. ^^ 여기서 뭐 해요? 글쎄, 나는 고객을 기다리고 있습니다. 당신은 고객입니까?
dlga_magic_weapon_a2:magic_weapon_a3a|네, 그것이 당신의 이름이라면 맞는 것 같습니다. 고객인지 아닌지 모르겠습니다. 무엇을 판매합니까?
dlga_magic_weapon_3a:magic_weapon_a3a|당신에게도 인사합니다. 무엇을 팔고 있습니까?
dlga_magic_weapon_a3a:magic_weapon_a3|필자는 필멸의 필사자가 만든 가장 놀라운 유물을 판매합니다. 그러나 내 상품을 인식 할 수있는 사람은 거의 없습니다. ^^ 내가 제공하는 것을 볼 수 없다면 시간이 맞지 않으며 나중에 다시 와야합니다. ^^^^ (Qualis Gem 및 Gold Bar 필요)
dlga_magic_weapon_a3:close_window|룬 도끼를 원합니다.
dlga_magic_weapon_a3:close_window.1|룬 양손 검을 원합니다.
dlga_magic_weapon_a3:close_window.2|룬 소드를 원합니다.
dlga_magic_weapon_a3:close_window.3|룬 글레이브를 원합니다.
dlga_magic_weapon_a3:close_window.4|룬 보우를 원합니다.
dlga_magic_weapon_a3:close_window.5|감사합니다
dlga_start:magic_azziz_1|뭐라고? 여기로 와서 .. 지금은 서두르지 말고 ... 발을 들어 올리십시오 ... 그렇습니다, 그렇습니다. 내가 당신에게 말할 비밀. ^^ 잘 들으세요. 하아! 너희는 메추라기를 사냥하고 잘 뽑아냅니다. 필사자의 기술로 교환하십시오. 그리고 나에게 돌아 오면 우리는 ... 아마도, 특히 와인을 가지고 있다면 이야기 할 것입니다. 나는 와인을 좋아한다. ^^^^ (항목을 장비하지 않고 당분간 재고를 유지하십시오)
dlga_magic_azziz_1:close_window|비밀, 사냥 메추라기 및 와인? 미친 구세대! 더 좋은 일이 있습니다 ... 안녕히 계세요.
dlga_start:magic_azziz_a1|뭐라고? 당신이 다시? 무엇이 당신을 유지? 길을 잃었다? 스 니프-스 니프 ... 당신은 나를 위해 와인이 있습니까?
dlga_magic_azziz_a1:magic_weapon_a3|포도주? 예, 여기 당신을위한 와인이 있습니다.
dlga_magic_azziz_a1:close_window|아니, 와인이 없어!
dlga_magic_weapon_a3:magic_azziz_a3|[BURP!] 아 아아아! 그것은 그 자리를 쳤다. 나는 아 .. 그렇다. 우리가 어디에 있었는지. .. [YAWN ... ZZZZZZ].
dlga_magic_azziz_a3:close_window|야! 당신! 일어나! 늙은 방귀!
dlga_start:close_window.4|뭐라고? 너 또 .. 와인없이? 아니 와인 ??? 그럼 안녕!
